Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry,CandidateStop,TrailingStop,InPosition,EntryDate,ExitSignal,ExitPrice,ExitReason,TradeId,HoldingDays,PnL_pct
2021-02-10,885.89,899.95,873.9,895.21,21234156,930.95,829.78,24.27,53.38,837.83,885.94,961.27,961.27,0,,,837.83,,0,,0,,,,,
2021-02-11,897.79,935.97,894.28,932.12,42539278,931.49,829.78,25.51,62.32,860.8,886.85,961.27,961.27,0,,,860.8,,0,,0,,,,,
2021-02-12,932.03,942.23,913.85,925.73,30497029,931.81,829.78,25.72,60.17,856.54,887.7,961.27,961.27,0,,,856.54,,0,,0,,,,,
2021-02-15,928.65,934.66,918.2,921.64,15791099,932.16,829.78,25.06,58.77,854.35,888.38,961.27,961.27,0,,,854.35,,0,,0,,,,,
2021-02-16,924.89,942.87,922.73,933.84,21421660,932.81,829.78,24.78,61.63,862.4,889.42,961.27,961.27,0,,,862.4,,0,,0,,,,,
2021-02-17,934.07,950.37,929.81,944.61,23742994,933.54,829.78,24.48,64.01,869.55,891.19,961.27,961.27,0,,,869.55,,0,,0,,,,,
2021-02-18,945.4,956.01,933.66,937.56,18646877,934.01,829.78,24.33,61.33,865.1,893.51,961.27,961.27,0,,,865.1,,0,,0,,,,,
2021-02-19,932.71,954.45,931.03,943.27,23403483,934.5,837.94,24.26,62.69,871.55,896.07,959.17,961.27,0,,,871.55,,0,,0,,,,,
2021-02-22,943.14,947.63,904.57,910.54,23804335,934.61,841.09,25.61,51.5,850.59,897.19,956.01,959.17,0,,,850.59,,0,,0,,,,,
2021-02-23,928.63,930.85,913.03,917.5,25644108,934.66,861.52,25.23,53.41,862.14,899.1,956.01,956.01,0,,,862.14,,0,,0,,,,,
2021-02-24,920.47,936.45,918.72,934.52,10807663,934.67,863.79,24.78,57.77,874.18,900.67,956.01,956.01,0,,,874.18,,0,,0,,,,,
2021-02-25,941.32,975.78,939.96,972.32,34855693,934.67,870.59,25.96,65.51,900.04,903.78,975.78,956.01,1,972.32,900.04,900.04,900.04,1,2021-02-25,0,,,50,,
2021-02-26,959.91,967.58,938.92,945.77,37481215,934.46,873.9,26.49,57.54,883.66,905.67,975.78,975.78,0,,,883.66,900.04,1,2021-02-25,0,,,50,,
2021-03-01,956.83,957.65,935.2,952.98,17680764,934.23,873.9,26.2,59.0,888.51,908.15,975.78,975.78,0,,,888.51,900.04,1,2021-02-25,0,,,50,,
2021-03-02,962.18,965.81,947.26,954.93,17150760,934.25,873.9,25.65,59.4,890.13,910.0,975.78,975.78,0,,,890.13,900.04,1,2021-02-25,0,,,50,,
2021-03-03,961.75,1006.57,955.47,998.5,31924461,934.54,894.28,27.51,67.22,923.79,912.8,1006.57,975.78,1,998.5,923.79,923.79,923.79,1,2021-02-25,0,,,50,,
2021-03-04,988.48,992.99,978.37,986.6,21435754,934.87,904.57,26.98,63.62,919.89,914.64,1006.57,1006.57,0,,,919.89,923.79,1,2021-02-25,0,,,50,,
2021-03-05,977.6,1002.97,976.26,987.89,25511666,935.38,904.57,26.96,63.84,920.74,915.83,1006.57,1006.57,0,,,920.74,923.79,1,2021-02-25,0,,,50,,
2021-03-08,983.27,1012.01,983.04,993.51,19506841,935.5,904.57,27.11,64.87,924.27,917.97,1012.01,1006.57,0,,,924.27,924.27,1,2021-02-25,0,,,50,,
2021-03-09,997.55,1003.81,973.34,993.49,15154484,935.7,904.57,27.35,64.86,924.09,921.75,1012.01,1012.01,0,,,924.09,924.27,1,2021-02-25,0,,,50,,
2021-03-10,1000.72,1004.4,984.06,989.36,11519358,935.84,904.57,26.85,63.33,921.76,926.09,1012.01,1012.01,0,,,921.76,924.27,1,2021-02-25,0,,,50,,
2021-03-12,995.28,1000.45,963.04,969.25,16864952,935.81,904.57,27.6,56.36,908.29,930.03,1012.01,1012.01,0,,,908.29,924.27,1,2021-02-25,0,,,50,,
2021-03-15,970.37,974.38,943.36,956.24,16698099,935.78,904.57,27.84,52.35,899.73,934.07,1012.01,1012.01,0,,,899.73,924.27,1,2021-02-25,0,,,50,,
2021-03-16,958.55,963.99,950.17,952.48,13873801,935.68,913.03,26.84,51.21,900.8,937.17,1012.01,1012.01,0,,,900.8,924.27,1,2021-02-25,0,,,50,,
2021-03-17,951.32,953.57,922.78,931.96,19210236,935.46,918.72,27.13,45.42,889.27,939.13,1012.01,1012.01,0,,,889.27,924.27,1,2021-02-25,1,935.46,TRAILING_STOP|SMA150_BREAK,50,14,-3.79
2021-03-18,939.92,945.31,907.32,910.99,20647480,935.12,907.32,27.9,40.4,871.43,940.32,1012.01,1012.01,0,,,871.43,,0,,0,,,,,
2021-03-19,902.78,950.32,899.06,944.04,41787429,935.02,899.06,29.57,49.82,888.88,942.7,1012.01,1012.01,0,,,888.88,,0,,0,,,,,
2021-03-22,939.06,940.42,921.92,935.16,18572478,934.94,899.06,29.04,47.64,883.51,944.79,1012.01,1012.01,0,,,883.51,,0,,0,,,,,
2021-03-23,934.95,956.6,932.25,946.54,17421165,934.84,899.06,28.7,50.62,891.07,946.85,1012.01,1012.01,0,,,891.07,,0,,0,,,,,
2021-03-24,943.02,943.02,925.18,928.31,16822814,934.59,899.06,28.18,46.09,879.66,948.23,1012.01,1012.01,0,,,879.66,,0,,0,,,,,
2021-03-25,931.35,931.35,900.06,902.99,22001648,934.27,899.06,28.4,40.65,863.18,948.49,1012.01,1012.01,0,,,863.18,,0,,0,,,,,
2021-03-26,912.3,913.07,894.94,904.44,20180202,934.01,894.94,27.67,41.08,863.23,947.57,1012.01,1012.01,0,,,863.23,,0,,0,,,,,
2021-03-30,910.49,929.04,903.03,920.15,20441701,933.8,894.94,27.55,45.66,873.44,947.38,1012.01,1012.01,0,,,873.44,,0,,0,,,,,
2021-03-31,915.02,929.49,906.41,908.27,16250796,933.57,894.94,27.23,42.94,865.99,946.93,1012.01,1012.01,0,,,865.99,,0,,0,,,,,
2021-04-01,915.02,920.47,908.29,916.77,11723312,933.22,894.94,26.16,45.45,872.19,946.36,1012.01,1012.01,0,,,872.19,,0,,0,,,,,
2021-04-05,918.18,918.2,889.68,903.51,14875099,932.86,889.68,26.32,42.33,861.77,944.99,1012.01,1012.01,0,,,861.77,,0,,0,,,,,
2021-04-06,908.68,909.11,892.81,899.74,14009194,932.46,889.68,25.61,41.46,859.82,943.73,1012.01,1012.01,0,,,859.82,,0,,0,,,,,
2021-04-07,906.86,928.13,903.82,908.15,24266353,932.23,889.68,25.81,44.22,865.11,942.56,1012.01,1012.01,0,,,865.11,,0,,0,,,,,
2021-04-08,911.85,916.84,903.69,909.29,15369188,931.98,889.68,24.9,44.6,866.45,942.52,1004.4,1012.01,0,,,866.45,,0,,0,,,,,
2021-04-09,906.16,909.74,897.79,898.72,14037885,931.54,889.68,23.98,41.75,860.25,941.9,1004.4,1004.4,0,,,860.25,,0,,0,,,,,
2021-04-12,888.27,889.36,861.63,866.58,20901482,930.93,861.63,24.91,34.53,829.54,939.63,1000.45,1004.4,0,,,829.54,,0,,0,,,,,
2021-04-13,872.4,879.93,869.61,875.94,19411189,930.49,861.63,24.09,37.9,836.13,936.42,974.38,1000.45,0,,,836.13,,0,,0,,,,,
2021-04-15,873.44,889.18,867.41,881.61,19723716,930.07,861.63,23.92,39.91,839.9,934.28,963.99,974.38,0,,,839.9,,0,,0,,,,,
2021-04-16,878.11,884.15,873.51,876.07,15656948,929.54,861.63,22.97,38.6,836.96,931.72,956.6,963.99,0,,,836.96,,0,,0,,,,,
2021-04-19,863.33,868.96,856.99,862.29,18478808,928.76,856.99,22.7,35.46,826.71,928.63,956.6,956.6,0,,,826.71,,0,,0,,,,,
2021-04-20,866.28,870.13,857.19,862.04,17203668,927.51,856.99,22.0,35.4,827.01,924.08,956.6,956.6,0,,,827.01,,0,,0,,,,,
2021-04-22,858.01,868.07,850.95,864.42,14490954,926.26,850.95,21.65,36.43,826.77,920.01,956.6,956.6,0,,,826.77,,0,,0,,,,,
2021-04-23,864.24,870.09,859.41,863.49,11828857,925.06,850.95,20.87,36.19,826.69,915.86,956.6,956.6,0,,,826.69,,0,,0,,,,,
2021-04-26,870.59,889.63,866.73,878.68,20846778,923.9,850.95,21.24,42.91,836.24,912.03,943.02,956.6,0,,,836.24,,0,,0,,,,,
2021-04-27,879.66,905.59,878.86,901.72,19992524,922.89,850.95,21.65,51.28,850.83,908.97,931.35,943.02,0,,,850.83,,0,,0,,,,,
2021-04-28,905.89,910.49,897.86,905.64,17122437,921.98,850.95,21.0,52.56,853.78,906.18,929.49,931.35,0,,,853.78,,0,,0,,,,,
2021-04-29,917.25,927.04,910.17,917.77,17412606,921.13,850.95,21.03,56.37,861.59,904.47,929.49,929.49,0,,,861.59,,0,,0,,,,,
2021-04-30,910.72,923.19,901.22,904.37,19828769,920.34,850.95,21.1,51.45,852.9,902.74,929.49,929.49,0,,,852.9,,0,,0,,,,,
2021-05-03,891.45,897.34,881.06,888.29,23640186,919.57,850.95,21.26,46.25,842.43,900.6,928.13,929.49,0,,,842.43,,0,,0,,,,,
2021-05-04,884.19,892.26,866.51,869.05,21849830,918.62,850.95,21.58,40.91,829.8,898.5,928.13,928.13,0,,,829.8,,0,,0,,,,,
2021-05-05,872.11,878.98,865.17,870.63,12393609,917.84,850.95,21.02,41.51,831.19,897.16,928.13,928.13,0,,,831.19,,0,,0,,,,,
2021-05-06,871.43,877.39,864.51,875.58,14624666,917.02,850.95,20.44,43.44,834.77,894.87,928.13,928.13,0,,,834.77,,0,,0,,,,,
2021-05-07,878.64,886.75,873.31,875.92,12288548,916.16,850.95,19.94,43.57,835.32,892.9,927.04,928.13,0,,,835.32,,0,,0,,,,,
2021-05-10,879.2,882.74,871.02,873.4,13941237,915.19,850.95,19.35,42.74,834.09,890.46,927.04,927.04,0,,,834.09,,0,,0,,,,,
2021-05-11,868.32,879.0,866.05,876.55,13478264,914.28,850.95,18.9,44.17,836.43,888.74,927.04,927.04,0,,,836.43,,0,,0,,,,,
2021-05-12,875.17,876.44,864.69,867.48,13177961,913.34,850.95,18.39,41.0,830.91,887.55,927.04,927.04,0,,,830.91,,0,,0,,,,,
2021-05-14,874.24,880.56,864.24,878.43,13291616,912.51,859.41,18.25,46.04,840.89,886.68,927.04,927.04,0,,,840.89,,0,,0,,,,,
2021-05-17,878.43,890.29,875.3,888.88,11873078,911.75,864.24,18.01,50.4,849.4,885.64,927.04,927.04,0,,,849.4,,0,,0,,,,,
