Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry
2024-07-24,436.44,466.23,434.25,438.78,950425,375.58,398.53,20.29,402.33,412.14,466.23,453.33,0,,
2024-07-25,433.5,458.31,431.81,444.76,561651,376.41,398.53,20.74,405.89,414.47,466.23,466.23,0,,
2024-07-26,444.76,456.32,441.62,444.76,226245,377.09,398.53,20.31,406.18,416.5,466.23,466.23,0,,
2024-07-29,444.11,452.04,439.88,442.92,246833,377.83,398.53,19.72,405.38,418.25,466.23,466.23,0,,
2024-07-30,442.92,468.28,441.72,453.68,677167,378.54,398.53,20.21,411.99,420.36,468.28,466.23,0,,
2024-07-31,456.87,478.24,451.24,471.56,501685,379.35,398.53,20.7,423.2,423.02,478.24,468.28,1,471.56,423.2
2024-08-01,476.69,513.11,467.28,497.27,848731,380.26,399.58,22.49,438.94,426.35,513.11,478.24,0,,
2024-08-02,493.08,516.1,481.73,505.59,681526,381.27,399.58,23.34,443.74,429.1,516.1,513.11,0,,
2024-08-05,498.07,528.06,486.21,516.75,1060942,382.34,399.58,24.66,450.06,432.22,528.06,516.1,1,516.75,450.06
2024-08-06,523.07,536.52,465.09,468.52,1476170,383.06,399.58,28.0,416.72,434.09,536.52,528.06,0,,
2024-08-07,467.78,508.03,451.49,499.51,1095543,383.93,399.58,30.04,435.35,437.2,536.52,536.52,0,,
2024-08-08,503.15,503.15,478.04,483.47,435474,384.69,399.58,29.69,425.24,439.48,536.52,536.52,0,,
2024-08-09,487.7,490.79,470.27,473.91,244235,385.4,399.58,29.03,419.51,442.04,536.52,536.52,0,,
2024-08-12,466.28,494.13,464.99,481.33,223711,386.17,401.92,29.04,425.07,444.67,536.52,536.52,0,,
2024-08-13,481.08,490.89,459.31,461.55,248409,386.8,431.81,29.22,422.15,446.18,536.52,536.52,0,,
2024-08-14,464.09,465.34,453.53,459.11,102996,387.34,431.81,27.98,421.41,447.77,536.52,536.52,0,,
2024-08-16,460.11,463.99,453.18,458.91,205142,387.92,439.88,26.75,424.79,449.43,536.52,536.52,0,,
2024-08-19,458.31,469.27,458.31,466.98,118789,388.48,439.88,25.62,430.75,450.94,536.52,536.52,0,,
2024-08-20,472.76,480.83,463.19,468.62,203409,389.1,441.72,25.05,432.8,452.32,536.52,536.52,0,,
2024-08-21,466.78,479.24,466.78,477.39,130131,389.6,451.24,24.16,442.23,453.87,536.52,536.52,0,,
2024-08-22,483.17,483.22,468.48,473.91,201406,390.12,451.49,23.48,440.51,455.24,536.52,536.52,0,,
2024-08-23,476.6,482.32,468.28,471.12,111198,390.67,451.49,22.81,439.16,456.8,536.52,536.52,0,,
2024-08-26,472.11,483.47,472.11,479.29,219039,391.3,451.49,22.06,444.93,458.84,536.52,536.52,0,,
2024-08-27,478.24,502.65,478.24,497.02,533532,392.1,451.49,22.23,456.26,461.31,536.52,536.52,0,,
2024-08-28,499.81,501.15,484.22,486.11,106956,392.83,451.49,21.85,449.47,463.64,536.52,536.52,0,,
2024-08-29,491.09,493.08,479.24,483.77,94199,393.6,453.18,21.28,448.91,465.91,536.52,536.52,0,,
2024-08-30,485.21,494.58,473.26,487.06,121233,394.43,453.18,21.28,451.03,468.44,536.52,536.52,0,,
